full_name,description,stars,forks,language,url,year,last_updated
agentuniverse-ai/agentUniverse,agentUniverse is a LLM multi-agent framework that allows developers to easily build multi-agent applications. ,1935,332,https://github.com/agentuniverse-ai/agentUniverse,2025,Python,2025-11-17T15:24:10+00:00
kaushikb11/awesome-llm-agents,A curated list of awesome LLM agents frameworks.,1181,123,https://github.com/kaushikb11/awesome-llm-agents,2025,Python,2025-11-23T02:23:46+00:00
InternLM/lagent,A lightweight framework for building LLM-based agents,2215,224,https://github.com/InternLM/lagent,2025,Python,2025-08-06T14:40:11+00:00
eosphoros-ai/DB-GPT,AI Native Data App Development framework with AWEL(Agentic Workflow Expression Language) and Agents,17700,2482,https://github.com/eosphoros-ai/DB-GPT,2025,Python,2025-11-24T14:47:28+00:00
fetchai/uAgents,A fast and lightweight framework for creating decentralized agents with ease.,1523,336,https://github.com/fetchai/uAgents,2025,Python,2025-11-26T17:03:59+00:00
Intelligent-Internet/ii-agent,II-Agent: a new open-source framework to build and deploy intelligent agents,3014,455,https://github.com/Intelligent-Internet/ii-agent,2025,Python,2025-11-19T17:16:24+00:00
raga-ai-hub/RagaAI-Catalyst,"Python SDK for Agent AI Observability, Monitoring and Evaluation Framework. Includes features like agent, llm and tools tracing, debugging multi-agentic system, self-hosted dashboard and advanced analytics with timeline and execution graph view ",16071,3712,https://github.com/raga-ai-hub/RagaAI-Catalyst,2025,Python,2025-11-24T22:55:22+00:00
lavague-ai/LaVague,Large Action Model framework to develop AI Web Agents,6212,573,https://github.com/lavague-ai/LaVague,2025,Python,2025-01-21T13:41:48+00:00
zai-org/GLM-4.5,"GLM-4.5: Agentic, Reasoning, and Coding (ARC) Foundation Models",3251,333,https://github.com/zai-org/GLM-4.5,2025,Python,2025-10-11T03:42:50+00:00
TransformerOptimus/SuperAGI,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably.",16900,2121,https://github.com/TransformerOptimus/SuperAGI,2025,Python,2025-01-22T22:14:07+00:00
microsoft/TaskWeaver,"The first ""code-first"" agent framework for seamlessly planning and executing data analytics tasks. ",6008,760,https://github.com/microsoft/TaskWeaver,2025,Python,2025-11-27T01:59:39+00:00
ServiceNow/AgentLab,"AgentLab: An open-source framework for developing, testing, and benchmarking web agents on diverse tasks, designed for scalability and reproducibility.",480,100,https://github.com/ServiceNow/AgentLab,2025,Python,2025-11-27T19:48:20+00:00
modelscope/Trinity-RFT,"Trinity-RFT is a general-purpose, flexible and scalable framework designed for reinforcement fine-tuning (RFT) of large language models (LLM).",420,42,https://github.com/modelscope/Trinity-RFT,2025,Python,2025-11-28T04:39:35+00:00
heshengtao/comfyui_LLM_party,"LLM Agent Framework in ComfyUI includes MCP sever, Omost,GPT-sovits, ChatTTS,GOT-OCR2.0, and FLUX prompt nodes,access to Feishu,discord,and adapts to all llms with similar openai / aisuite interfaces, such as o1,ollama, gemini, grok, qwen, GLM, deepseek, kimi,doubao. Adapted to local llms, vlm, gguf such as llama-3.3 Janus-Pro, Linkage graphRAG",2013,164,https://github.com/heshengtao/comfyui_LLM_party,2025,Python,2025-09-08T02:51:40+00:00
Holmeswww/AgentKit,"An intuitive LLM prompting framework for multifunctional agents, by explicitly constructing a complex ""thought process"" from simple natural language prompts.",469,52,https://github.com/Holmeswww/AgentKit,2024,Python,2024-12-20T10:26:34+00:00
Ido-Levi/Hephaestus,"Semi-Structured Agentic Framework. Workflows build themselves as agents discover what needs to be done, not what you predicted upfront.",1017,115,https://github.com/Ido-Levi/Hephaestus,2025,Python,2025-11-23T23:29:30+00:00
1517005260/graph-rag-agent,"拼好RAG：手搓并融合了GraphRAG、LightRAG、Neo4j-llm-graph-builder进行知识图谱构建以及搜索；整合DeepSearch技术实现私域RAG的推理；自制针对GraphRAG的评估框架| Integrate GraphRAG, LightRAG, and Neo4j-llm-graph-builder for knowledge graph construction and search. Combine DeepSearch for private RAG reasoning. Create a custom evaluation framework for GraphRAG.",1530,216,https://github.com/1517005260/graph-rag-agent,2025,Python,2025-11-05T08:15:51+00:00
dynamiq-ai/dynamiq,Dynamiq is an orchestration framework for agentic AI and LLM applications,1001,116,https://github.com/dynamiq-ai/dynamiq,2025,Python,2025-11-28T08:47:06+00:00
AgentEra/Agently-Daily-News-Collector,An open-source LLM based automatically daily news collecting workflow showcase powered by Agently AI application development framework.,572,93,https://github.com/AgentEra/Agently-Daily-News-Collector,2024,Python,2024-10-22T03:17:44+00:00
SALT-NLP/DyLAN,Official Implementation of Dynamic LLM-Agent Network: An LLM-agent Collaboration Framework with Agent Team Optimization,181,28,https://github.com/SALT-NLP/DyLAN,2024,Python,2024-05-16T07:46:26+00:00
kayba-ai/agentic-context-engine,🧠 Make your agents learn from experience. Based on the Agentic Context Engineering (ACE) framework.,987,121,https://github.com/kayba-ai/agentic-context-engine,2025,Python,2025-11-27T23:37:01+00:00
i-am-bee/beeai-framework,Build production-ready AI agents in both Python and Typescript.,2992,397,https://github.com/i-am-bee/beeai-framework,2025,Python,2025-11-28T11:31:39+00:00
Maximilian-Winter/llama-cpp-agent,"The llama-cpp-agent framework is a tool designed for easy interaction with Large Language Models (LLMs). Allowing users to chat with LLM models, execute structured function calls and get structured output. Works also with models not fine-tuned to JSON output and function calls.",609,71,https://github.com/Maximilian-Winter/llama-cpp-agent,2025,Python,2025-02-17T02:17:59+00:00
Institute4FutureHealth/CHA,Conversational Health Agents: A Personalized LLM-powered Agent Framework,123,36,https://github.com/Institute4FutureHealth/CHA,2025,Python,2025-11-05T04:18:05+00:00
project-ryoma/ryoma,Common AI agent framework solving your data problems,394,58,https://github.com/project-ryoma/ryoma,2025,Python,2025-11-21T14:10:37+00:00
ServiceNow/TapeAgents,TapeAgents is a framework that facilitates all stages of the LLM Agent development lifecycle,298,37,https://github.com/ServiceNow/TapeAgents,2025,Python,2025-11-03T16:35:30+00:00
OpenBMB/IoA,"An open-source framework for collaborative AI agents, enabling diverse, distributed agents to team up and tackle complex tasks through internet-like connectivity.",783,79,https://github.com/OpenBMB/IoA,2025,Python,2025-10-04T17:40:10+00:00
MervinPraison/PraisonAI,"PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simple tasks to complex challenges. It provides a low-code solution to streamline the building and management of multi-agent LLM systems, emphasising simplicity, customisation, and effective human-agent collaboration.",5487,741,https://github.com/MervinPraison/PraisonAI,2025,Python,2025-11-03T14:14:47+00:00
codefuse-ai/CodeFuse-muAgent,An Innovative Agent Framework Driven by KG Engine,772,82,https://github.com/codefuse-ai/CodeFuse-muAgent,2025,Python,2025-01-15T06:12:34+00:00
AQ-MedAI/MedResearcher-R1,"MedResearcher-R1 is a deep research agent for medical scenarios, built on a knowledge-informed trajectory synthesis framework.",433,43,https://github.com/AQ-MedAI/MedResearcher-R1,2025,Python,2025-09-01T02:58:52+00:00
aielte-research/HackSynth,LLM Agent and Evaluation Framework for Autonomous Penetration Testing ,263,46,https://github.com/aielte-research/HackSynth,2025,Python,2025-06-24T10:20:29+00:00
wxai-space/LightAgent,"LightAgent: Lightweight AI agent framework with memory, tools & tree-of-thought. Supports multi-agent collaboration, self-learning, and major LLMs (OpenAI/DeepSeek/Qwen). Open-source with MCP/SSE protocol integration.",418,68,https://github.com/wxai-space/LightAgent,2025,Python,2025-11-15T10:44:10+00:00
melih-unsal/DemoGPT,"🤖 Everything you need to create an LLM Agent—tools, prompts, frameworks, and models—all in one place.",1880,220,https://github.com/melih-unsal/DemoGPT,2025,Python,2025-05-19T14:54:40+00:00
huygiatrng/AlpacaTradingAgent,AlpacaTradingAgent: Multi-Agents LLM Financial Trading Framework and perform trades on alpaca,93,35,https://github.com/huygiatrng/AlpacaTradingAgent,2025,Python,2025-09-05T18:35:50+00:00
MemTensor/MemOS,"Build memory-native AI agents with Memory OS — an open-source framework for long-term memory, retrieval, and adaptive learning in large language models. Agent Memory | Memory  System | Memory Management | Memory MCP | MCP System | LLM Memory | Agents Memory System | ",3170,285,https://github.com/MemTensor/MemOS,2025,Python,2025-11-28T08:08:06+00:00
MarianoMolina/project_alice,A framework for agentic workflow creation and deployment,254,34,https://github.com/MarianoMolina/project_alice,2025,Python,2025-01-22T21:20:23+00:00
wjayesh/mahilo,mahilo: Multi-Agent Human-in-the-Loop Framework is a flexible framework for creating multi-agent systems that can each interact with humans while sharing relevant context internally.,377,46,https://github.com/wjayesh/mahilo,2025,Python,2025-04-02T16:13:18+00:00
ZHangZHengEric/Sage,Multi-Agent System Framework For Complex Tasks,688,49,https://github.com/ZHangZHengEric/Sage,2025,Python,2025-11-26T10:11:56+00:00
openlit/openlit,"Open source platform for AI Engineering: OpenTelemetry-native LLM Observability, GPU Monitoring, Guardrails, Evaluations, Prompt Management, Vault, Playground. 🚀💻 Integrates with 50+ LLM Providers, VectorDBs, Agent Frameworks and GPUs.",2053,214,https://github.com/openlit/openlit,2025,Python,2025-11-18T17:33:12+00:00
griptape-ai/griptape,"Modular Python framework for AI agents and workflows with chain-of-thought reasoning, tools, and memory. ",2416,206,https://github.com/griptape-ai/griptape,2025,Python,2025-11-24T21:38:59+00:00
TsinghuaC3I/MARTI,A Framework for LLM-based Multi-Agent Reinforced Training and Inference,355,37,https://github.com/TsinghuaC3I/MARTI,2025,Python,2025-11-20T14:51:20+00:00
openonion/connectonion,The Best AI Agent Framework for Agent Collaboration. ,169,15,https://github.com/openonion/connectonion,2025,Python,2025-11-27T06:38:07+00:00
langroid/langroid-examples,Using Langroid's Multi-Agent Framework to Build LLM Apps,146,38,https://github.com/langroid/langroid-examples,2025,Python,2025-06-29T01:36:17+00:00
howl-anderson/agentsilex,"A transparent, minimal, and hackable agent framework. ~300 lines of readable code. Full control, no magic.",392,38,https://github.com/howl-anderson/agentsilex,2025,Python,2025-11-10T20:32:38+00:00
USC-FORTIS/AD-AGENT,"A multi-agent framework to fully automate anomaly detection in different modalities, tabular, graph, time series, and more (work in progress)!",81,28,https://github.com/USC-FORTIS/AD-AGENT,2025,Python,2025-06-01T08:48:27+00:00
video-db/Director,AI video agents framework for next-gen video interactions and workflows.,1147,195,https://github.com/video-db/Director,2025,Python,2025-07-25T07:49:27+00:00
Andyinater/AutoGen_EnhancedAgents,"This repository holds enhanced Agents, built for the Microsoft AutoGen Framework. Debuting with a MemoryEnabledAgent with improvements in context/token control, portability, and PnP functionality.",117,21,https://github.com/Andyinater/AutoGen_EnhancedAgents,2023,Python,2023-10-12T01:38:53+00:00
samholt/L2MAC,🚀 The LLM Automatic Computer Framework: L2MAC,144,40,https://github.com/samholt/L2MAC,2024,Python,2024-12-27T00:50:24+00:00
hitsz-ids/synthetic-data-generator,SDG is a specialized framework designed to generate high-quality structured tabular data.,2395,385,https://github.com/hitsz-ids/synthetic-data-generator,2025,Python,2025-11-10T18:26:08+00:00
manthanguptaa/water,A multi-agent orchestration framework that works with any agent framework,215,23,https://github.com/manthanguptaa/water,2025,Python,2025-06-08T14:46:31+00:00
KroMiose/nekro-agent,"集代码执行能力/高度可扩展性为一体的多人跨平台聊天机器人：沙盒驱动｜可视化｜高扩展｜多模态; An Extensible Multi-person interactive Agent Framework Powered by LLM Code Generation; Support: QQ, Discord, Minecraft, Bilibili Live, SSE(SDK) ...",613,52,https://github.com/KroMiose/nekro-agent,2025,Python,2025-11-28T03:21:38+00:00
Undertone0809/promptulate,🚀Lightweight Large language model automation and Autonomous Language Agents development framework. Build your LLM Agent Application in a pythonic way!,588,37,https://github.com/Undertone0809/promptulate,2025,Python,2025-11-01T15:02:59+00:00
pettingllms-ai/PettingLLMs,A RL Framework for multi LLM agent system,69,9,https://github.com/pettingllms-ai/PettingLLMs,2025,Python,2025-11-18T03:18:07+00:00
Tomortec/CryptoTradingAgents,Multi-Agents AI LLM Crypto Financial Trading Framework. Make your path to financial freedom more secure and steady. 开源多代理加密货币交易决策框架。帮助你的财务自由之路走得更安心踏实。,220,29,https://github.com/Tomortec/CryptoTradingAgents,2025,Python,2025-11-07T07:02:50+00:00
DeepAuto-AI/automl-agent,[ICML-25] AutoML-Agent: A Multi-Agent LLM Framework for Full-Pipeline AutoML,74,13,https://github.com/DeepAuto-AI/automl-agent,2025,Python,2025-07-11T19:39:49+00:00
LYiHub/platform-war-public,A chatbot/GraphRAG framework that creates multi-llm-agents from social platform user comments and let them debate on specific topics.,781,94,https://github.com/LYiHub/platform-war-public,2024,Python,2024-12-14T09:24:39+00:00
JARVIS-Xs/SE-Agent,"SE-Agent is a self-evolution framework for LLM Code agents. It enables trajectory-level evolution to exchange information across reasoning paths via Revision, Recombination, and Refinement, expanding the search space and escaping local optima. On SWE-bench Verified, it achieves SOTA performance",197,25,https://github.com/JARVIS-Xs/SE-Agent,2025,Python,2025-09-23T01:32:14+00:00
sii-research/siiRL,siiRL: Shanghai Innovation Institute RL Framework for Advanced LLMs and Multi-Agent Systems,271,22,https://github.com/sii-research/siiRL,2025,Python,2025-11-27T08:01:17+00:00
nbshenxm/pentest-agent,"PentestAgent is a novel LLM-driven penetration testing framework to automate intelligence gathering, vulnerability analysis, and exploitation stages, reducing manual intervention. For more information, read our paper at https://dl.acm.org/doi/10.1145/3708821.3733882 ",89,30,https://github.com/nbshenxm/pentest-agent,2025,Python,2025-10-20T18:52:50+00:00
bytedance/deer-flow,"DeerFlow is a community-driven Deep Research framework, combining language models with tools like web search, crawling, and Python execution, while contributing back to the open-source community.",18375,2299,https://github.com/bytedance/deer-flow,2025,Python,2025-11-28T10:52:42+00:00
szqwu/Motion-Agent,"Official repo of ""Motion-Agent: A Conversational Framework for Human Motion Generation with LLMs""",98,8,https://github.com/szqwu/Motion-Agent,2025,Python,2025-10-29T18:55:18+00:00
agentscope-ai/agentscope-bricks,"A Production-Ready agent components framework that compatible with other agent framework, such as agentscope, langgraph, autogen, more on the road",43,11,https://github.com/agentscope-ai/agentscope-bricks,2025,Python,2025-11-27T03:00:06+00:00
mstrYoda/llm-agents-example,"An example repository to use HuggingFace smolagents, Phidata and CrewAI frameworks with local LLMs",40,4,https://github.com/mstrYoda/llm-agents-example,2025,Python,2025-01-05T12:07:27+00:00
jsz-05/LLM-State-Machine,Framework for building conversational agents using a Finite State Machine (FSM) and LLMs,54,7,https://github.com/jsz-05/LLM-State-Machine,2025,Python,2025-04-23T10:30:53+00:00
yongchao98/multi-agent-framework,LLM multi-agent discussion framework for multi-agent/robot situations.,39,7,https://github.com/yongchao98/multi-agent-framework,2024,Python,2024-09-26T22:47:18+00:00
cnsdqd-dyb/VillagerAgent-Minecraft-multiagent-framework,(VillagerAgent ACL 2024) A Graph based Minecraft multi agents framework,81,10,https://github.com/cnsdqd-dyb/VillagerAgent-Minecraft-multiagent-framework,2025,Python,2025-06-17T07:17:33+00:00
autograms/autograms,Framework for coding stateful LLM chatbots and agents,56,8,https://github.com/autograms/autograms,2025,Python,2025-07-17T03:04:31+00:00
iflytek/DeepResearch,A deep research framework based on progressive search and cross-evaluation.,47,15,https://github.com/iflytek/DeepResearch,2025,Python,2025-10-27T03:36:42+00:00
geteff1/Multi-agent-conversation-for-disease-diagnosis,This depository introduces a multi-agent conversation framework which facilitates in depth conversation among LLMs for complex disease diagnosis.,62,12,https://github.com/geteff1/Multi-agent-conversation-for-disease-diagnosis,2024,Python,2024-12-05T08:21:20+00:00
LLMP-io/Legion,A Python-based framework for building multi-agent systems with LLMs. Currently in pre-launch alpha.,107,21,https://github.com/LLMP-io/Legion,2025,Python,2025-02-27T23:42:50+00:00
CoreAgent-Project/CoreAgent,LLM Agent framework with Stateful Tools. ,26,4,https://github.com/CoreAgent-Project/CoreAgent,2025,Python,2025-07-09T22:14:57+00:00
ababdotai/awesome-agent-quickstart,"Helloworld for agentic frameworks, minimial but runnable! LangGraph, Agno, AutoGen, Smolagents, OpenAI Agents, etc.",50,14,https://github.com/ababdotai/awesome-agent-quickstart,2025,Python,2025-08-08T14:58:12+00:00
Jacob-liu1996/miniagent,A lightweight intelligent agent framework implementing the complete ReAct pattern,176,18,https://github.com/Jacob-liu1996/miniagent,2025,Python,2025-08-15T12:03:24+00:00
FreedomIntelligence/TwinMarket,[NeurIPS 2025 & ICLR 2025 Financial AI Best Paper Award] A multi-agent framework that leverages LLMs to simulate socio-economic systems,60,10,https://github.com/FreedomIntelligence/TwinMarket,2025,Python,2025-11-20T07:27:01+00:00
DiLiuNEUexpresscompany/LLM-Based-Multi-Agent-Stock-Analysis-and-Investment-Advisor,"This project leverages Large Language Models (LLMs) and a multi-agent framework to analyze stock prices, gather relevant news, and generate comprehensive financial investment reports for companies.",19,7,https://github.com/DiLiuNEUexpresscompany/LLM-Based-Multi-Agent-Stock-Analysis-and-Investment-Advisor,2025,Python,2025-02-26T03:56:56+00:00
j66n/acte,"A framework to build GUI-like Agent Tools, enhancement to Function Calling of LLM AI.",93,13,https://github.com/j66n/acte,2024,Python,2024-10-21T06:47:45+00:00
operand/agency,A fast and minimal framework for building agentic systems,454,24,https://github.com/operand/agency,2025,Python,2025-10-28T22:46:47+00:00
GhostInShells/GhostOS,A framework offers an OS simulator within a Python Code Interface for AI Agents,77,8,https://github.com/GhostInShells/GhostOS,2025,Python,2025-06-14T11:33:49+00:00
chuanruihu/Level-Navi-Agent-Search,"The Level-Navi Agent, a framework that requires no training and utilizes large language models for deep query understanding and precise search operations. The repo includes benchmarks, datasets, and tools for assessing LLM performance in web searches",81,11,https://github.com/chuanruihu/Level-Navi-Agent-Search,2024,Python,2024-12-27T12:15:22+00:00
jatingargiitk/saas-builder,AI-native SaaS framework that builds full-stack apps using autonomous AI agents,176,40,https://github.com/jatingargiitk/saas-builder,2025,Python,2025-07-29T07:28:46+00:00
LLAMATOR-Core/llamator,Framework for testing vulnerabilities of large language models (LLM).,174,16,https://github.com/LLAMATOR-Core/llamator,2025,Python,2025-09-24T12:55:36+00:00
jwentong/WirelessAgent_R1,"We introduce WirelessAgent, a novel framework that harnesses large language models (LLMs) to create autonomous AI agents for diverse wireless network tasks. ",31,9,https://github.com/jwentong/WirelessAgent_R1,2025,Python,2025-05-06T07:09:47+00:00
cyberark/agentwatch,"A powerful AI observability framework that provides comprehensive insights into agent interactions across platforms, enabling developers to monitor, analyze, and optimize AI-driven applications with minimal integration effort.",102,7,https://github.com/cyberark/agentwatch,2025,Python,2025-05-14T06:19:06+00:00
FiboLLM/FiboLLM,Fibo is a cutting-edge framework designed to build and deploy AI agents that seamlessly integrate automated task execution with interactive chat capabilities.,55,4,https://github.com/FiboLLM/FiboLLM,2025,Python,2025-04-03T04:05:26+00:00
GURPREETKAURJETHRA/Multi-Agent-AI-App,Multi-Agent AI App from Scratch in python without any depedency of framework,15,8,https://github.com/GURPREETKAURJETHRA/Multi-Agent-AI-App,2025,Python,2025-01-07T11:59:35+00:00
PRAISELab-PicusLab/LLM-Agents-Simulation-Framework,🤖 A simulation framework designed to study complex social dynamics using generative agents powered by Large Language Models.,9,4,https://github.com/PRAISELab-PicusLab/LLM-Agents-Simulation-Framework,2025,Python,2025-02-25T13:49:27+00:00
Arc-Computer/ATLAS,A Continual Learning Framework for Production LLM Agents,26,5,https://github.com/Arc-Computer/ATLAS,2025,Python,2025-11-24T23:18:46+00:00
truefoundry/cognita,"RAG (Retrieval Augmented Generation) Framework for building modular, open source applications for production by TrueFoundry ",4289,361,https://github.com/truefoundry/cognita,2025,Python,2025-11-26T17:01:26+00:00
sandner-art/ArtAgents,Framework for LLM based captioning and prompt engineering,14,4,https://github.com/sandner-art/ArtAgents,2025,Python,2025-10-29T17:31:03+00:00
jacobsparts/agentlib,A simple framework for building LLM-powered agents with tool support.,10,5,https://github.com/jacobsparts/agentlib,2025,Python,2025-07-24T20:12:16+00:00
sony/talkhier,"Official Repo for The Paper ""Talk Structurally, Act Hierarchically: A Collaborative Framework for LLM Multi-Agent Systems""",58,14,https://github.com/sony/talkhier,2025,Python,2025-02-24T22:49:01+00:00
analyticalrohit/ai-blog-generator,"Multi-Agent Blog Generator based on Agno framework. Supports leading LLM providers like OpenAI, Gemini, Claude, and Grok.",63,16,https://github.com/analyticalrohit/ai-blog-generator,2025,Python,2025-09-05T03:39:51+00:00
MobileLLM/ChainStream,A Stream-based LLM Agent Framework for Continuous Context Sensing and Sharing,41,6,https://github.com/MobileLLM/ChainStream,2025,Python,2025-10-22T17:26:36+00:00
RUCKBReasoning/SoAy,Codes for paper SoAy: A Service-oriented APIs Applying Framework of Large Language Models,27,2,https://github.com/RUCKBReasoning/SoAy,2025,Python,2025-07-14T04:10:39+00:00
BAAI-Agents/Cradle,"The Cradle framework is a first attempt at General Computer Control (GCC). Cradle supports agents to ace any computer task by enabling strong reasoning abilities, self-improvment, and skill curation, in a standardized general environment with minimal requirements.",2341,228,https://github.com/BAAI-Agents/Cradle,2024,Python,2024-11-07T04:58:20+00:00
context-machine-lab/ContextAgent,Context-central multi-agent framework with PyTorch-like API. Build intelligent agent systems with minimal code.,69,5,https://github.com/context-machine-lab/ContextAgent,2025,Python,2025-10-26T15:21:05+00:00
sinanuozdemir/squad-goals,A basic agent framework by Sinan Ozdemir,14,12,https://github.com/sinanuozdemir/squad-goals,2025,Python,2025-07-14T18:37:34+00:00
Maximilian-Winter/ToolAgents,ToolAgents is a lightweight and flexible framework for creating function-calling agents with various language models and APIs.,27,6,https://github.com/Maximilian-Winter/ToolAgents,2025,Python,2025-10-12T03:49:10+00:00
sradc/MakeAgents,A Python micro framework for creating LLM-driven agents,23,3,https://github.com/sradc/MakeAgents,2025,Python,2025-05-20T20:38:14+00:00
Y-Agent/STRIDE,A Tool-Assisted LLM Agent Framework for Strategic and Interactive Decision Making,18,9,https://github.com/Y-Agent/STRIDE,2024,Python,2024-09-29T15:22:05+00:00
TUDB-Labs/LLM-Medical-Agent,Multi Agent Framework for the Medical Data Processing,9,4,https://github.com/TUDB-Labs/LLM-Medical-Agent,2024,Python,2024-10-10T03:56:10+00:00
libraryofcelsus/Aetherius_AI_Assistant,"A completely private, locally-operated Ai Assistant/Chatbot/Sub-Agent Framework with realistic Long Term Memory and thought formation using Open Source LLMs. Qdrant is used for the Vector DB.",309,43,https://github.com/libraryofcelsus/Aetherius_AI_Assistant,2024,Python,2024-09-06T16:48:36+00:00
hankbesser/recursive-agents,A meta-framework for self-improving LLMs with transparent reasoning,25,3,https://github.com/hankbesser/recursive-agents,2025,Python,2025-10-26T17:29:59+00:00
rememberSoftwares/yacana,Task driven LLM multi agent framework that gives you the building blocks to create anything you wish,80,9,https://github.com/rememberSoftwares/yacana,2025,Python,2025-11-20T22:46:23+00:00
PrimisAI/nexus,A powerful Python framework for orchestrating AI agents and managing complex LLM-driven tasks with ease.,91,7,https://github.com/PrimisAI/nexus,2025,Python,2025-07-25T23:14:42+00:00
Lightning-AI/litAI,"LLM router + minimal agent framework in one. Call any LLM API with OpenAI format. Unified billing, tools, retries, fallback, logging. Build agents and AI apps in pure Python. Full control. Zero magic.",33,8,https://github.com/Lightning-AI/litAI,2025,Python,2025-11-24T06:43:24+00:00
ibm-self-serve-assets/JudgeIt-LLM-as-a-Judge,"Automation Framework using LLM-as-a-judge to evaluate of Agentic AI, RAG, Text2SQL at scale; that is a good proxy for human judgement.",32,6,https://github.com/ibm-self-serve-assets/JudgeIt-LLM-as-a-Judge,2025,Python,2025-10-09T18:01:03+00:00
MLT-OSS/open-assistant-api,"The Open Assistant API is a ready-to-use, open-source, self-hosted agent/gpts orchestration creation framework, supporting customized extensions for LLM, RAG, function call, and tools capabilities. It also supports seamless integration with the openai/langchain sdk.",354,86,https://github.com/MLT-OSS/open-assistant-api,2025,Python,2025-06-24T05:17:23+00:00
RobotecAI/rai,"RAI is a vendor-agnostic agentic framework for robotics, utilizing ROS 2 tools to perform complex actions, defined scenarios, free interface execution, log summaries, voice interaction and more.",415,51,https://github.com/RobotecAI/rai,2025,Python,2025-11-28T10:42:59+00:00
sserrano44/CryptoAgents,"CryptoAgents is a sophisticated multi-agent LLM framework specifically designed for cryptocurrency trading. It leverages specialized AI agents working as a coordinated trading desk to analyze crypto markets, conduct research debates, execute trades, and manage risk in the 24/7 cryptocurrency ecosystem.",17,7,https://github.com/sserrano44/CryptoAgents,2025,Python,2025-06-24T00:36:45+00:00
Anionex/LLM-ReACT-Agent,"手搓一个基于React推理框架的agent，支持添加工具 | Build a LLM agent using ReAct reasoning framework from scratch, supporting adding custom tools",7,2,https://github.com/Anionex/LLM-ReACT-Agent,2024,Python,2024-09-12T04:48:49+00:00
topoteretes/PromethAI-Backend,"Open-source framework that gives you AI Agents that help you navigate decision-making, get personalized goals and execute them",178,22,https://github.com/topoteretes/PromethAI-Backend,2024,Python,2024-11-05T16:35:08+00:00
antgroup/Agentar-Scale-SQL,Agentar-Scale-SQL is a novel framework that leverages scalable computation to significantly improve Text-to-SQL performance.,100,2,https://github.com/antgroup/Agentar-Scale-SQL,2025,Python,2025-11-28T08:38:35+00:00
dot-agent/nextpy,🤖Self-Modifying Framework from the Future 🔮 World's First AMS,2332,181,https://github.com/dot-agent/nextpy,2024,Python,2024-05-01T09:46:55+00:00
AI-secure/UDora,[ICML 2025] UDora: A Unified Red Teaming Framework against LLM Agents,21,4,https://github.com/AI-secure/UDora,2025,Python,2025-06-24T01:53:56+00:00
xybruceliu/thoughtful-agents,"A Python framework for building proactive LLM agents that simulate human-like cognitive processes. Enables agents to continuously generate and evaluate thoughts in parallel with conversations, and autonomously determining when and how to engage.",27,4,https://github.com/xybruceliu/thoughtful-agents,2025,Python,2025-03-24T21:13:55+00:00
