full_name,description,stars,forks,language,url,year,last_updated
chatchat-space/Langchain-Chatchat,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ",36673,6070,Python,https://github.com/chatchat-space/Langchain-Chatchat,2025,2025-11-10T09:27:42+00:00
OpenBMB/ChatDev,Create Customized Software using Natural Language Idea (through LLM-powered Multi-Agent Collaboration),27781,3492,Python,https://github.com/OpenBMB/ChatDev,2025,2025-09-23T12:40:26+00:00
assafelovic/gpt-researcher,An LLM agent that conducts deep research (local and web) on any given topic and generates a long report with citations.,24305,3214,Python,https://github.com/assafelovic/gpt-researcher,2025,2025-11-15T10:38:45+00:00
Fosowl/agenticSeek,"Fully Local Manus AI. No APIs, No $200 monthly bills. Enjoy an autonomous agent that thinks, browses the web, and code for the sole cost of electricity. 🔔 Official updates only via twitter @Martin993886460 (Beware of fake account)",23917,2608,Python,https://github.com/Fosowl/agenticSeek,2025,2025-11-15T13:56:20+00:00
vanna-ai/vanna,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using Agentic Retrieval 🔄.,21749,2050,Python,https://github.com/vanna-ai/vanna,2025,2025-11-20T18:35:07+00:00
1Panel-dev/MaxKB,🔥 MaxKB is an open-source platform for building enterprise-grade agents.  强大易用的开源企业级智能体平台。,19411,2525,Python,https://github.com/1Panel-dev/MaxKB,2025,2025-11-28T11:19:05+00:00
letta-ai/letta,Letta is the platform for building stateful agents: open AI with advanced memory that can learn and self-improve over time.,19311,2023,Python,https://github.com/letta-ai/letta,2025,2025-11-27T08:56:48+00:00
SWE-agent/SWE-agent,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ",17872,1895,Python,https://github.com/SWE-agent/SWE-agent,2025,2025-11-24T21:53:51+00:00
arc53/DocsGPT,"Private AI platform for agents, assistants and enterprise search. Built-in Agent Builder, Deep research, Document analysis, Multi-model support, and API connectivity for agents.",17433,1939,Python,https://github.com/arc53/DocsGPT,2025,2025-11-26T17:12:03+00:00
Alibaba-NLP/DeepResearch,"Tongyi Deep Research, the Leading Open-source Deep Research Agent",17374,1332,Python,https://github.com/Alibaba-NLP/DeepResearch,2025,2025-11-20T09:23:41+00:00
emcie-co/parlant,LLM agents built for control. Designed for real-world use. Deployed in minutes.,16477,1377,Python,https://github.com/emcie-co/parlant,2025,2025-11-26T16:40:16+00:00
google/adk-python,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",15740,2487,Python,https://github.com/google/adk-python,2025,2025-11-27T03:49:11+00:00
GaiZhenbiao/ChuanhuChatGPT,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.",15425,2270,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,2025,2025-08-15T02:25:50+00:00
LlamaFamily/Llama-Chinese,Llama中文社区，实时汇总最新Llama学习资料，构建最好的中文Llama大模型开源生态，完全开源可商用,14752,1302,Python,https://github.com/LlamaFamily/Llama-Chinese,2025,2025-04-06T09:16:55+00:00
langbot-app/LangBot,"Production-grade platform for building IM bots / 生产级即时通信机器人开发平台. Bots for QQ / QQ频道 / Discord / LINE / WeChat(微信, 企业微信)/ Telegram / 飞书 / 钉钉 / Slack e.g. Integrated with ChatGPT(GPT), DeepSeek, Dify, n8n, Langflow, Coze, Claude, Google Gemini, Nano Banana, Kimi, PPIO, Ollama, MiniMax, SiliconFlow, Qwen, Moonshot, MCP etc. LLM & Agent & RAG",14161,1178,Python,https://github.com/langbot-app/LangBot,2025,2025-11-28T10:49:50+00:00
agentscope-ai/agentscope,AgentScope: Agent-Oriented Programming for Building LLM Applications,14111,1163,Python,https://github.com/agentscope-ai/agentscope,2025,2025-11-27T13:31:50+00:00
usestrix/strix,Open-source AI agents for penetration testing,14068,1328,Python,https://github.com/usestrix/strix,2025,2025-11-25T16:31:29+00:00
AstrBotDevs/AstrBot,"✨ Agentic IM ChatBot Infrastructure ✨ Integration with multiple IMs, easy-to-use plugin system, supports OpenAI, Gemini, Anthropic, Dify, Coze, built-in Knowledge Base, Agent. ✨ 一站式大模型聊天机器人平台及开发框架 ✨ 多消息平台（QQ, Telegram, 企微, 飞书, 钉钉等）集成，易用的插件系统，支持接入 OpenAI, Gemini, Anthropic, Dify, Coze, 阿里云百炼应用等平台，内置知识库、Agent 智能体",13754,1039,Python,https://github.com/AstrBotDevs/AstrBot,2025,2025-11-28T11:59:36+00:00
hsliuping/TradingAgents-CN,基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版,13329,2895,Python,https://github.com/hsliuping/TradingAgents-CN,2025,2025-11-24T09:53:26+00:00
bytedance/trae-agent,Trae Agent is an LLM-based agent for general purpose software engineering tasks.,10118,1054,Python,https://github.com/bytedance/trae-agent,2025,2025-09-24T02:58:02+00:00
microsoft/RD-Agent,"Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through R&D-Agent, which lets AI drive data-driven AI. 🔗https://aka.ms/RD-Agent-Tech-Report",9605,1036,Python,https://github.com/microsoft/RD-Agent,2025,2025-11-28T11:33:48+00:00
microsoft/agent-lightning,The absolute trainer to light up AI agents.,8993,717,Python,https://github.com/microsoft/agent-lightning,2025,2025-11-28T11:07:14+00:00
fishaudio/Bert-VITS2,vits2 backbone with multilingual-bert,8624,1250,Python,https://github.com/fishaudio/Bert-VITS2,2025,2025-11-26T04:51:01+00:00
OpenBMB/XAgent,An Autonomous LLM Agent for Complex Task Solving,8464,892,Python,https://github.com/OpenBMB/XAgent,2024,2024-08-12T06:41:38+00:00
lastmile-ai/mcp-agent,Build effective agents using Model Context Protocol and simple workflow patterns,7800,785,Python,https://github.com/lastmile-ai/mcp-agent,2025,2025-11-20T00:38:21+00:00
microsoft/UFO,UFO³: Weaving the Digital Agent Galaxy,7743,945,Python,https://github.com/microsoft/UFO,2025,2025-11-17T02:17:51+00:00
GibsonAI/Memori,"Open-Source Memory Engine for LLMs, AI Agents & Multi-Agent Systems",7732,560,Python,https://github.com/GibsonAI/Memori,2025,2025-11-24T18:24:50+00:00
zilliztech/deep-searcher,Open Source Deep Research Alternative to Reason and Search on Private Data. Written in Python.,7192,691,Python,https://github.com/zilliztech/deep-searcher,2025,2025-11-19T06:04:16+00:00
run-llama/rags,"Build ChatGPT over your data, all with natural language",6522,667,Python,https://github.com/run-llama/rags,2024,2024-04-05T05:36:59+00:00
droidrun/droidrun,Automate your mobile devices with natural language commands - an LLM agnostic mobile Agent 🤖,6383,656,Python,https://github.com/droidrun/droidrun,2025,2025-11-27T07:18:20+00:00
Klavis-AI/klavis,Klavis AI (YC X25):  MCP integration platforms that let AI agents use tools reliably at any scale,5484,506,Python,https://github.com/Klavis-AI/klavis,2025,2025-11-27T23:17:56+00:00
TaskingAI/TaskingAI,The open source platform for AI-native application development.,5352,356,Python,https://github.com/TaskingAI/TaskingAI,2024,2024-12-02T22:18:38+00:00
airweave-ai/airweave,Context retrieval for AI agents across apps and databases,5277,633,Python,https://github.com/airweave-ai/airweave,2025,2025-11-28T04:23:16+00:00
InternLM/xtuner,A Next-Generation Training Engine Built for Ultra-Large MoE Models,5008,387,Python,https://github.com/InternLM/xtuner,2025,2025-11-28T09:43:23+00:00
Giskard-AI/giskard-oss,🐢 Open-Source Evaluation & Testing library for LLM Agents,4992,381,Python,https://github.com/Giskard-AI/giskard-oss,2025,2025-11-18T11:06:33+00:00
0x4m4/hexstrike-ai,"HexStrike AI MCP Agents is an advanced MCP server that lets AI agents (Claude, GPT, Copilot, etc.) autonomously run 150+ cybersecurity tools for automated pentesting, vulnerability discovery, bug bounty automation, and security research. Seamlessly bridge LLMs with real-world offensive security capabilities.",4739,1106,Python,https://github.com/0x4m4/hexstrike-ai,2025,2025-11-06T20:07:31+00:00
aipotheosis-labs/aci,ACI.dev is the open source tool-calling platform that hooks up 600+ tools into any agentic IDE or custom AI agent through direct function calling or a unified MCP server. The birthplace of VibeOps.,4683,453,Python,https://github.com/aipotheosis-labs/aci,2025,2025-09-24T08:01:50+00:00
xlang-ai/OpenAgents,[COLM 2024] OpenAgents: An Open Platform for Language Agents in the Wild,4625,503,Python,https://github.com/xlang-ai/OpenAgents,2024,2024-11-18T09:39:29+00:00
Integuru-AI/Integuru,The first AI agent that builds permissionless integrations through reverse engineering platforms' internal APIs.,4504,365,Python,https://github.com/Integuru-AI/Integuru,2025,2025-08-28T03:32:03+00:00
shaxiu/XianyuAutoAgent,智能闲鱼客服机器人系统：专为闲鱼平台打造的AI值守解决方案，实现闲鱼平台7×24小时自动化值守，支持多专家协同决策、智能议价和上下文感知对话。,4394,814,Python,https://github.com/shaxiu/XianyuAutoAgent,2025,2025-11-21T09:50:52+00:00
strands-agents/sdk-python,A model-driven approach to building AI agents in just a few lines of code.,4112,501,Python,https://github.com/strands-agents/sdk-python,2025,2025-11-26T15:09:18+00:00
gptme/gptme,"Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web, vision.",4075,338,Python,https://github.com/gptme/gptme,2025,2025-11-28T03:08:05+00:00
ModelEngine-Group/nexent,"Nexent is a zero-code platform for auto-generating agents — no orchestration, no complex drag-and-drop required. Nexent also offers powerful capabilities for agent running control, data processing and MCP tools.",4041,433,Python,https://github.com/ModelEngine-Group/nexent,2025,2025-11-28T08:23:38+00:00
iflytek/astron-rpa,Agent-ready RPA suite with out-of-the-box automation tools. Built for individuals and enterprises.,3958,842,Python,https://github.com/iflytek/astron-rpa,2025,2025-11-28T07:51:05+00:00
SylphAI-Inc/AdalFlow,AdalFlow: The library to build & auto-optimize LLM applications.,3888,355,Python,https://github.com/SylphAI-Inc/AdalFlow,2025,2025-10-08T04:04:59+00:00
ag2ai/ag2,AG2 (formerly AutoGen): The Open-Source AgentOS. Join us at: https://discord.gg/pAbnFJrkgZ,3871,502,Python,https://github.com/ag2ai/ag2,2025,2025-11-28T05:23:35+00:00
langroid/langroid,Harness LLMs with Multi-Agent Programming,3782,351,Python,https://github.com/langroid/langroid,2025,2025-11-24T21:02:31+00:00
Mai-with-u/MaiBot,麦麦bot，一款专注于 群组聊天 的赛博网友（比较专注）多平台智能体,3723,411,Python,https://github.com/Mai-with-u/MaiBot,2025,2025-11-28T07:28:12+00:00
vocodedev/vocode-core,🤖 Build voice-based LLM agents. Modular + open source.,3641,639,Python,https://github.com/vocodedev/vocode-core,2024,2024-11-15T22:16:58+00:00
OpenManus/OpenManus-RL,A live stream development of RL tunning for LLM agents,3632,506,Python,https://github.com/OpenManus/OpenManus-RL,2025,2025-10-08T03:32:54+00:00
PeterH0323/Streamer-Sales,Streamer-Sales 销冠 —— 卖货主播 LLM 大模型🛒🎁，一个能够根据给定的商品特点从激发用户购买意愿角度出发进行商品解说的卖货主播大模型。🚀⭐内含详细的数据生成流程❗ 📦另外还集成了 LMDeploy 加速推理🚀、RAG检索增强生成 📚、TTS文字转语音🔊、数字人生成 🦸、 Agent 使用网络查询实时信息🌐、ASR 语音转文字🎙️、Vue 生态搭建前端🍍、FastAPI 搭建后端🗝️、Docker-compose 打包部署🐋,3565,546,Python,https://github.com/PeterH0323/Streamer-Sales,2025,2025-03-08T00:38:06+00:00
Agenta-AI/agenta,"The open-source LLMOps platform: prompt playground, prompt management, LLM evaluation, and LLM observability all in one place.",3421,403,Python,https://github.com/Agenta-AI/agenta,2025,2025-11-28T12:00:54+00:00
LazyAGI/LazyLLM,Easiest and laziest way for  building multi-agent LLMs applications.,3382,342,Python,https://github.com/LazyAGI/LazyLLM,2025,2025-11-28T04:02:16+00:00
TracecatHQ/tracecat,"All-in-one AI automation platform (workflows, agents, cases, tables) for security, IT, and infra teams.",3376,315,Python,https://github.com/TracecatHQ/tracecat,2025,2025-11-28T03:30:34+00:00
algorithmicsuperintelligence/optillm,Optimizing inference proxy for LLMs,3192,249,Python,https://github.com/algorithmicsuperintelligence/optillm,2025,2025-11-20T11:28:51+00:00
Josh-XT/AGiXT,"AGiXT is a dynamic AI Agent Automation Platform that seamlessly orchestrates instruction management and complex task execution across diverse AI providers. Combining adaptive memory, smart features, and a versatile plugin system, AGiXT delivers efficient and comprehensive AI solutions.",3128,439,Python,https://github.com/Josh-XT/AGiXT,2025,2025-11-28T04:55:18+00:00
ucbepic/docetl,A system for agentic LLM-powered data processing and ETL,3111,323,Python,https://github.com/ucbepic/docetl,2025,2025-11-27T03:13:18+00:00
inclusionAI/AReaL,Lightning-Fast RL for LLM Reasoning and Agents. Made Simple & Flexible.,3093,238,Python,https://github.com/inclusionAI/AReaL,2025,2025-11-28T12:03:51+00:00
noahshinn/reflexion,[NeurIPS 2023] Reflexion: Language Agents with Verbal Reinforcement Learning,2964,286,Python,https://github.com/noahshinn/reflexion,2025,2025-01-14T07:54:02+00:00
NevaMind-AI/memU,Memory infrastructure for LLMs and AI agents,2925,176,Python,https://github.com/NevaMind-AI/memU,2025,2025-11-27T06:00:24+00:00
cheshire-cat-ai/core,AI agent microservice,2920,387,Python,https://github.com/cheshire-cat-ai/core,2025,2025-11-27T22:28:45+00:00
om-ai-lab/OmAgent,Build multimodal language agents for fast prototype and production,2601,286,Python,https://github.com/om-ai-lab/OmAgent,2025,2025-03-19T11:36:13+00:00
ruc-datalab/DeepAnalyze,DeepAnalyze is the first agentic LLM for autonomous data science. 🎈你的AI数据分析师，自动分析大量数据，一键生成专业分析报告！,2562,376,Python,https://github.com/ruc-datalab/DeepAnalyze,2025,2025-11-26T15:39:02+00:00
Tencent/AI-Infra-Guard,"A.I.G (AI-Infra-Guard) is a comprehensive, intelligent, and easy-to-use AI Red Teaming platform developed by Tencent Zhuque Lab.",2467,245,Python,https://github.com/Tencent/AI-Infra-Guard,2025,2025-11-28T03:37:35+00:00
jackmpcollins/magentic,Seamlessly integrate LLMs as Python functions,2385,120,Python,https://github.com/jackmpcollins/magentic,2025,2025-11-24T15:32:42+00:00
icip-cas/PPTAgent,PPTAgent: Generating and Evaluating Presentations Beyond Text-to-Slides [EMNLP 2025],2308,275,Python,https://github.com/icip-cas/PPTAgent,2025,2025-11-28T07:59:22+00:00
AGI-Edgerunners/LLM-Agents-Papers,A repo lists papers related to LLM based agent,2129,131,Python,https://github.com/AGI-Edgerunners/LLM-Agents-Papers,2025,2025-07-12T07:39:24+00:00
oxylabs/oxylabs-ai-studio-py,"Structured data gathering from any website using AI-powered scraper, crawler, and browser automation. Scraping and crawling with natural language prompts. Equip your LLM agents with fresh data. AI Studio python SDK for intelligent web data gathering. ",2087,13,Python,https://github.com/oxylabs/oxylabs-ai-studio-py,2025,2025-11-20T14:54:43+00:00
run-llama/llama_deploy,Deploy your agentic worfklows to production,2065,228,Python,https://github.com/run-llama/llama_deploy,2025,2025-08-31T08:08:45+00:00
QIN2DIM/hcaptcha-challenger,🥂 Gracefully face hCaptcha challenge with multimodal large language model.,2040,367,Python,https://github.com/QIN2DIM/hcaptcha-challenger,2025,2025-11-22T17:06:15+00:00
datapizza-labs/datapizza-ai,Build reliable Gen AI solutions without overhead 🍕,2015,117,Python,https://github.com/datapizza-labs/datapizza-ai,2025,2025-11-21T15:09:22+00:00
OpenAutoCoder/Agentless,Agentless🐱:  an agentless approach to automatically solve software development problems,1976,214,Python,https://github.com/OpenAutoCoder/Agentless,2024,2024-12-22T19:29:31+00:00
fiatrete/OpenDAN-Personal-AI-OS,"OpenDAN is an open source Personal AI OS , which consolidates various AI modules in one place for your personal use.",1956,200,Python,https://github.com/fiatrete/OpenDAN-Personal-AI-OS,2025,2025-08-20T15:24:51+00:00
Agent-on-the-Fly/Memento,Official Code of Memento: Fine-tuning LLM Agents without Fine-tuning LLMs,1929,217,Python,https://github.com/Agent-on-the-Fly/Memento,2025,2025-10-05T14:34:18+00:00
Forethought-Technologies/AutoChain,"AutoChain: Build lightweight, extensible, and testable LLM Agents",1861,101,Python,https://github.com/Forethought-Technologies/AutoChain,2024,2024-05-23T18:19:29+00:00
AI-Citizen/SolidGPT,Developer AI Persona Search Agent,1789,130,Python,https://github.com/AI-Citizen/SolidGPT,2025,2025-01-12T04:58:38+00:00
msoedov/agentic_security,Agentic LLM Vulnerability Scanner / AI red teaming kit 🧪,1698,219,Python,https://github.com/msoedov/agentic_security,2025,2025-11-27T03:58:32+00:00
nottelabs/notte,🔥 Reliable Browser AI Agents (YC S25),1686,151,Python,https://github.com/nottelabs/notte,2025,2025-11-24T16:30:30+00:00
e2b-dev/open-computer-use,AI computer use powered by open source LLMs and E2B Desktop Sandbox,1661,225,Python,https://github.com/e2b-dev/open-computer-use,2025,2025-06-05T10:13:19+00:00
wassim249/fastapi-langgraph-agent-production-ready-template,"A production-ready FastAPI template for building AI agent applications with LangGraph integration. This template provides a robust foundation for building scalable, secure, and maintainable AI agent services.",1625,364,Python,https://github.com/wassim249/fastapi-langgraph-agent-production-ready-template,2025,2025-11-09T18:56:29+00:00
SocialAI-tianji/Tianji,制作懂人情世故的大语言模型 | 涵盖提示词工程、RAG、Agent、LLM微调教程,1613,133,Python,https://github.com/SocialAI-tianji/Tianji,2025,2025-04-29T14:07:52+00:00
jina-ai/thinkgpt,Agent techniques to augment your LLM and push it beyong its limits,1585,136,Python,https://github.com/jina-ai/thinkgpt,2024,2024-05-23T13:04:46+00:00
HolmesGPT/holmesgpt,"Your 24/7 On-Call AI Agent - Solve Alerts Faster with Automatic Correlations, Investigations, and More",1529,196,Python,https://github.com/HolmesGPT/holmesgpt,2025,2025-11-28T09:23:06+00:00
starpig1129/DATAGEN,"DATAGEN: AI-driven multi-agent research assistant automating hypothesis generation, data analysis, and report writing. Now expanding into crypto market intelligence. Learn more: https://datagen.digital/.",1519,214,Python,https://github.com/starpig1129/DATAGEN,2025,2025-10-31T00:24:27+00:00
Farama-Foundation/chatarena,ChatArena (or Chat Arena) is a Multi-Agent Language Game Environments for LLMs. The goal is to develop communication and collaboration capabilities of AIs.,1518,147,Python,https://github.com/Farama-Foundation/chatarena,2025,2025-08-11T20:19:17+00:00
szczyglis-dev/py-gpt,"Desktop AI Assistant powered by GPT-5, GPT-4, o1, o3, Gemini, Claude, Ollama, DeepSeek, Perplexity, Grok, Bielik, chat, vision, voice, RAG, image and video generation, agents, tools, MCP, plugins, speech synthesis and recognition, web search, memory, presets, assistants,and more. Linux, Windows, Mac",1478,296,Python,https://github.com/szczyglis-dev/py-gpt,2025,2025-09-28T09:19:42+00:00
jgravelle/AutoGroq,"AutoGroq is a groundbreaking tool that revolutionizes the way users interact with Autogen™ and other AI assistants. By dynamically generating tailored teams of AI agents based on your project requirements, AutoGroq eliminates the need for manual configuration and allows you to tackle any question, problem, or project with ease and efficiency.",1473,464,Python,https://github.com/jgravelle/AutoGroq,2024,2024-12-23T21:00:56+00:00
THUDM/AgentTuning,AgentTuning: Enabling Generalized Agent Abilities for LLMs,1471,107,Python,https://github.com/THUDM/AgentTuning,2023,2023-10-31T15:34:43+00:00
xingyaoww/code-act,"Official Repo for ICML 2024 paper ""Executable Code Actions Elicit Better LLM Agents"" by Xingyao Wang, Yangyi Chen, Lifan Yuan, Yizhe Zhang, Yunzhu Li, Hao Peng, Heng Ji.",1466,118,Python,https://github.com/xingyaoww/code-act,2024,2024-05-23T23:14:59+00:00
bytedance/pasa,"PaSa -- an advanced paper search agent powered by large language models. It can autonomously make a series of decisions, including invoking search tools, reading papers, and selecting relevant references, to ultimately obtain comprehensive and accurate results for complex scholarly queries.",1440,111,Python,https://github.com/bytedance/pasa,2025,2025-05-27T11:09:11+00:00
TIGER-AI-Lab/TheoremExplainAgent,"Official Repo for ""TheoremExplainAgent: Towards Video-based Multimodal Explanations for LLM Theorem Understanding"" [ACL 2025 oral]",1430,189,Python,https://github.com/TIGER-AI-Lab/TheoremExplainAgent,2025,2025-07-27T02:56:48+00:00
MLSysOps/MLE-agent,"🤖 MLE-Agent: Your intelligent companion for seamless AI engineering and research. 🔍 Integrate with arxiv and paper with code to provide better code/research plans 🧰 OpenAI, Anthropic, Gemini, Ollama, etc supported. :fireworks: Code RAG",1410,91,Python,https://github.com/MLSysOps/MLE-agent,2025,2025-07-27T17:56:58+00:00
jdagdelen/hyperDB,A hyper-fast local vector database for use with LLM Agents. Now accepting SAFEs at $135M cap.,1406,88,Python,https://github.com/jdagdelen/hyperDB,2025,2025-02-07T22:15:55+00:00
Yifan-Song793/RestGPT,An LLM-based autonomous agent controlling real-world applications via RESTful APIs,1389,104,Python,https://github.com/Yifan-Song793/RestGPT,2024,2024-06-07T13:22:15+00:00
lenML/Speech-AI-Forge,"🍦 Speech-AI-Forge is a project developed around TTS generation model, implementing an API Server and a Gradio-based WebUI.",1361,182,Python,https://github.com/lenML/Speech-AI-Forge,2025,2025-09-16T02:41:50+00:00
